Prefill;Context;Decode;Time (ms)
[(0, 12)];[];[];10.6438
[];[12];[1];8.9477
[];[13];[2];8.7069
[];[14];[3];8.7094
[];[15];[4];8.7269
[];[16];[5];8.7161
[];[17];[6];8.7200
[];[18];[7];8.7113
[];[19];[8];8.6842
[];[20];[9];8.6810
[];[21];[10];8.6797
[];[22];[11];8.7119
[];[23];[12];8.6801
[];[24];[13];8.6523
[];[25];[14];8.6473
[];[26];[15];8.6502
[];[27];[16];8.6770
[];[28];[17];8.6452
[];[29];[18];8.6519
[];[30];[19];8.6752
[];[31];[20];8.6582
[];[32];[21];8.6672
[];[33];[22];8.6477
[];[34];[23];8.6629
[];[35];[24];8.6702
[];[36];[25];8.6916
[];[37];[26];8.6692
[];[38];[27];8.7239
[];[39];[28];8.6727
[];[40];[29];8.6621
[];[41];[30];8.6529
[];[42];[31];8.6598
[];[43];[32];8.6667
[];[44];[33];8.6586
[];[45];[34];8.6579
[];[46];[35];8.6496
[];[47];[36];8.6523
[];[48];[37];8.6791
[];[49];[38];8.6704
[];[50];[39];8.6810
[];[51];[40];8.6636
[];[52];[41];8.6544
[];[53];[42];8.6950
[];[54];[43];8.6865
[];[55];[44];8.6726
[];[56];[45];8.6749
[];[57];[46];8.6658
[];[58];[47];8.6851
[];[59];[48];8.6826
[];[60];[49];8.6688
[];[61];[50];8.6388
[];[62];[51];8.6575
[];[63];[52];8.6706
[];[64];[53];8.6671
[];[65];[54];8.6777
[];[66];[55];8.6748
[];[67];[56];8.6544
[];[68];[57];8.6780
[];[69];[58];8.6675
[];[70];[59];8.6850
[];[71];[60];8.6546
[];[72];[61];8.6628
[];[73];[62];8.6602
[];[74];[63];8.6748
[];[75];[64];8.6512
[];[76];[65];8.6493
[];[77];[66];8.6495
[];[78];[67];8.6633
[];[79];[68];8.6998
[];[80];[69];8.6851
[];[81];[70];8.6730
[];[82];[71];8.6540
[];[83];[72];8.6823
[];[84];[73];8.6712
[];[85];[74];8.7026
[];[86];[75];8.6974
[];[87];[76];8.6727
[];[88];[77];8.6709
[];[89];[78];8.6580
[];[90];[79];8.6658
[];[91];[80];8.6710
[];[92];[81];8.6524
[];[93];[82];8.6597
[];[94];[83];8.6452
[];[95];[84];8.6485
[];[96];[85];8.6786
[];[97];[86];8.6493
[];[98];[87];8.6672
[];[99];[88];8.6434
[];[100];[89];8.7011
[];[101];[90];8.6816
[];[102];[91];8.6664
[];[103];[92];8.6880
[];[104];[93];8.6907
[];[105];[94];8.7217
[];[106];[95];8.7026
[];[107];[96];8.6933
[];[108];[97];8.7158
[];[109];[98];8.6746
[];[110];[99];8.7419
[];[111];[100];8.6713
[];[112];[101];8.6785
[];[113];[102];8.7216
[];[114];[103];8.6769
[];[115];[104];8.6618
[];[116];[105];8.8741
[];[117];[106];9.2727
[];[118];[107];8.7618
[];[119];[108];8.7531
[];[120];[109];8.7144
[];[121];[110];8.6977
[];[122];[111];8.6779
[];[123];[112];19.9041
[];[124];[113];8.8337
[];[125];[114];8.6811
[];[126];[115];8.6700
[];[127];[116];8.6706
[];[128];[117];8.7813
[];[129];[118];8.8391
[];[];[];0.1596
[(0, 12)];[];[];9.8429
[];[12];[1];8.6084
[];[13];[2];8.6448
[];[14];[3];8.6363
[];[15];[4];8.6939
[];[16];[5];8.6838
